wavenumber,E1,E2,E3,E4,E5,E6,E7,E8,M2E2,
3961.554,0.01177128,0.019056,0.013693,0.0083311,0.0095045,0.0093551,0.008893,0.012522,0.013215,
3961.072,0.01177924,0.019056,0.013702,0.0083324,0.0095035,0.0093539,0.0088951,0.012533,0.013214,
3960.589,0.0117881,0.019049,0.013709,0.0083296,0.0095011,0.0093547,0.0088985,0.012538,0.013216,
3960.107,0.0117963,0.019036,0.013714,0.0083237,0.0094982,0.0093567,0.0089028,0.012539,0.013218,
3959.625,0.01180239,0.019021,0.013716,0.0083165,0.0094958,0.0093594,0.0089075,0.012535,0.013221,
3959.143,0.01180566,0.019008,0.013717,0.0083106,0.0094952,0.0093616,0.0089114,0.01253,0.013224,
3958.661,0.01180641,0.018998,0.013716,0.0083079,0.0094969,0.0093625,0.0089134,0.012525,0.013227,
3958.179,0.01180556,0.018993,0.013717,0.0083098,0.0095006,0.0093615,0.0089135,0.012521,0.01323,
3957.697,0.01180468,0.018992,0.013718,0.0083163,0.0095055,0.0093582,0.0089119,0.01252,0.013234,
3957.215,0.01180447,0.018994,0.013722,0.0083264,0.0095103,0.0093526,0.0089096,0.012521,0.01324,
3956.733,0.0118058,0.018997,0.013727,0.0083379,0.0095138,0.0093446,0.0089075,0.012522,0.013247,
3956.25,0.01180849,0.018999,0.013732,0.0083489,0.0095154,0.0093345,0.0089063,0.012523,0.013255,
3955.768,0.011812,0.018998,0.013735,0.0083581,0.0095152,0.0093227,0.0089062,0.012521,0.013261,
3955.286,0.01181564,0.018993,0.013735,0.0083648,0.0095139,0.0093104,0.0089065,0.012516,0.013264,
3954.804,0.01181833,0.018987,0.013731,0.0083697,0.0095127,0.0092992,0.0089064,0.012508,0.013263,
3954.322,0.01181942,0.018979,0.013722,0.0083734,0.0095126,0.0092906,0.0089052,0.012498,0.013259,
3953.84,0.01181836,0.018972,0.01371,0.0083767,0.0095149,0.0092866,0.008903,0.012489,0.013251,
3953.358,0.01181455,0.018968,0.013695,0.00838,0.0095203,0.0092879,0.0089004,0.012483,0.013244,
3952.876,0.01180767,0.018969,0.013679,0.0083832,0.0095286,0.0092944,0.0088987,0.012484,0.013238,
3952.393,0.01179787,0.018975,0.013666,0.008386,0.0095399,0.0093049,0.0088991,0.012492,0.013236,
3951.911,0.01178541,0.018988,0.013655,0.0083886,0.0095533,0.0093171,0.0089023,0.012507,0.013238,
3951.429,0.01177148,0.019005,0.013648,0.008392,0.0095679,0.0093286,0.0089086,0.012524,0.013243,
3950.947,0.01175763,0.019028,0.013645,0.0083976,0.0095829,0.0093375,0.0089175,0.012541,0.013249,
3950.465,0.01174547,0.019053,0.013647,0.0084069,0.0095974,0.0093426,0.008928,0.012554,0.013255,
3949.983,0.01173672,0.019079,0.013652,0.0084208,0.0096104,0.0093444,0.0089389,0.01256,0.013259,
3949.501,0.01173226,0.019103,0.01366,0.0084387,0.0096215,0.0093437,0.0089491,0.012558,0.01326,
3949.019,0.01173206,0.019123,0.01367,0.0084585,0.0096301,0.0093418,0.0089573,0.012551,0.013259,
3948.537,0.01173485,0.019136,0.013682,0.008477,0.0096359,0.0093396,0.0089624,0.01254,0.013255,
3948.054,0.01173897,0.019138,0.013693,0.0084906,0.0096382,0.0093373,0.0089628,0.012528,0.01325,
3947.572,0.01174193,0.01913,0.013702,0.0084968,0.009637,0.0093348,0.008958,0.012517,0.013245,
3947.09,0.01174152,0.019112,0.013706,0.008495,0.0096323,0.0093319,0.008948,0.012507,0.01324,
3946.608,0.01173676,0.019088,0.013706,0.0084863,0.0096247,0.009329,0.0089342,0.012498,0.013236,
3946.126,0.01172712,0.019062,0.0137,0.0084739,0.0096151,0.009327,0.0089192,0.012491,0.013231,
3945.644,0.01171378,0.01904,0.013691,0.0084616,0.0096052,0.0093272,0.0089066,0.012486,0.013228,
3945.162,0.01169914,0.019026,0.01368,0.0084524,0.0095967,0.0093311,0.0088996,0.012483,0.013226,
3944.68,0.01168607,0.019024,0.01367,0.0084487,0.0095914,0.0093392,0.0089008,0.012487,0.013226,
3944.197,0.01167828,0.019034,0.013662,0.0084504,0.009591,0.0093506,0.0089105,0.012496,0.013229,
3943.715,0.01167835,0.019054,0.013659,0.0084559,0.0095956,0.0093636,0.0089271,0.012513,0.013235,
3943.233,0.01168754,0.019077,0.013659,0.0084621,0.0096049,0.0093756,0.0089467,0.012535,0.013242,
3942.751,0.01170527,0.019099,0.013662,0.0084653,0.0096165,0.0093837,0.0089641,0.012558,0.013251,
3942.269,0.01172855,0.019113,0.013665,0.0084624,0.0096278,0.0093862,0.0089753,0.012577,0.013259,
3941.787,0.01175242,0.019116,0.013667,0.0084521,0.0096356,0.0093827,0.0089773,0.012588,0.013264,
3941.305,0.01177206,0.019106,0.013667,0.0084347,0.0096377,0.0093744,0.0089701,0.012589,0.013265,
3940.823,0.01178398,0.019085,0.013664,0.0084127,0.0096337,0.0093632,0.0089552,0.012581,0.013262,
3940.341,0.01178677,0.019058,0.01366,0.00839,0.0096243,0.0093514,0.0089361,0.012566,0.013255,
3939.858,0.0117819,0.01903,0.013656,0.0083699,0.009612,0.0093408,0.0089157,0.012549,0.013248,
3939.376,0.01177271,0.019005,0.013652,0.0083554,0.0095995,0.0093328,0.0088964,0.012535,0.01324,
3938.894,0.01176375,0.018986,0.013651,0.0083468,0.0095889,0.0093278,0.0088795,0.012526,0.013235,
3938.412,0.01175824,0.018975,0.013653,0.0083431,0.0095817,0.0093254,0.0088652,0.012522,0.013232,
3937.93,0.011758,0.01897,0.013656,0.0083417,0.0095776,0.0093255,0.0088531,0.012523,0.013232,
3937.448,0.01176198,0.018969,0.01366,0.0083397,0.0095757,0.0093269,0.0088427,0.012525,0.013234,
3936.966,0.0117675,0.018972,0.013662,0.0083358,0.0095741,0.0093287,0.0088338,0.012527,0.013236,
3936.484,0.01177049,0.018975,0.013661,0.0083298,0.0095715,0.0093304,0.0088272,0.012526,0.013237,
3936.002,0.01176774,0.018979,0.013657,0.0083244,0.0095672,0.0093318,0.0088239,0.012521,0.013236,
3935.519,0.011758,0.018984,0.01365,0.0083231,0.0095619,0.0093332,0.0088255,0.012514,0.013232,
3935.037,0.01174268,0.018993,0.01364,0.0083294,0.0095574,0.0093355,0.0088337,0.012508,0.013225,
3934.555,0.01172515,0.019006,0.013629,0.0083455,0.0095553,0.0093401,0.0088495,0.012504,0.013216,
3934.073,0.01170963,0.019025,0.01362,0.0083708,0.0095572,0.0093477,0.008873,0.012505,0.013207,
3933.591,0.01169993,0.01905,0.013615,0.0084021,0.0095641,0.0093587,0.0089029,0.012512,0.013197,
3933.109,0.01169829,0.019077,0.013615,0.0084346,0.009575,0.0093724,0.0089365,0.012524,0.013189,
3932.627,0.01170452,0.019104,0.01362,0.0084626,0.0095887,0.0093868,0.0089697,0.012541,0.013183,
3932.145,0.01171623,0.019125,0.013631,0.0084823,0.0096027,0.0093995,0.0089981,0.01256,0.013181,
3931.662,0.01173005,0.019139,0.013645,0.0084916,0.0096146,0.009408,0.0090181,0.012578,0.013181,
3931.18,0.01174319,0.019141,0.01366,0.0084917,0.0096221,0.0094107,0.0090276,0.012593,0.013186,
3930.698,0.01175351,0.019133,0.013676,0.0084852,0.009624,0.0094074,0.0090264,0.012602,0.013193,
3930.216,0.01176045,0.019114,0.013689,0.0084747,0.0096191,0.0093988,0.0090161,0.012605,0.013201,
3929.734,0.01176426,0.019087,0.0137,0.0084622,0.0096076,0.0093865,0.0089993,0.012601,0.013208,
3929.252,0.01176552,0.019054,0.013706,0.0084485,0.0095903,0.0093721,0.0089793,0.012591,0.013213,
3928.77,0.01176386,0.019018,0.013706,0.0084335,0.0095688,0.0093568,0.0089591,0.012574,0.013213,
3928.288,0.01175912,0.018983,0.0137,0.0084174,0.0095461,0.0093416,0.0089413,0.012553,0.013208,
3927.806,0.01175075,0.018954,0.013688,0.0084009,0.0095263,0.0093277,0.0089288,0.012533,0.013199,
3927.323,0.01173941,0.018936,0.013672,0.0083859,0.0095129,0.0093162,0.0089233,0.012516,0.013189,
3926.841,0.01172661,0.018933,0.013656,0.0083745,0.0095096,0.0093086,0.0089264,0.012505,0.013181,
3926.359,0.01171531,0.018948,0.013643,0.0083688,0.0095179,0.0093061,0.0089385,0.012505,0.013179,
3925.877,0.01170837,0.01898,0.013636,0.0083689,0.0095371,0.0093089,0.0089577,0.012513,0.013184,
