Cluster 1	Cluster 2	Distancia	Elementos fusionados
438.0	514.0	0.15369716256175914	2.0
220.0	876.0	0.15376455715619086	3.0
492.0	493.0	0.1540505933593614	2.0
508.0	544.0	0.1541039370518149	2.0
572.0	602.0	0.15417286938901836	2.0
111.0	846.0	0.15489142326631825	4.0
323.0	338.0	0.15506031832233103	2.0
691.0	840.0	0.15508800162412237	3.0
445.0	476.0	0.15520880100274895	2.0
74.0	754.0	0.15521376070637163	3.0
314.0	315.0	0.1552161418367393	2.0
174.0	189.0	0.15524846764999872	2.0
774.0	833.0	0.15541785486498605	4.0
739.0	841.0	0.15541843313726147	4.0
115.0	796.0	0.1560773152597163	3.0
62.0	165.0	0.1569625033467091	2.0
334.0	962.0	0.15703006553526058	3.0
183.0	885.0	0.15812205076982672	3.0
139.0	153.0	0.15855298916131658	2.0
560.0	566.0	0.15907252258940302	2.0
177.0	192.0	0.15913778295109968	2.0
348.0	886.0	0.15925778162613158	3.0
120.0	829.0	0.15958217862515534	4.0
555.0	594.0	0.15979438833141413	2.0
525.0	553.0	0.15980066088290687	2.0
808.0	901.0	0.15992204639756985	8.0
290.0	299.0	0.160277519128316	2.0
442.0	448.0	0.16047052408781803	2.0
569.0	891.0	0.16110038972744542	3.0
58.0	918.0	0.1611051633997559	3.0
579.0	604.0	0.16159491829354278	2.0
262.0	843.0	0.16159707623589997	3.0
533.0	546.0	0.16176380813627786	2.0
55.0	838.0	0.16247020722287098	3.0
812.0	944.0	0.1629248014365495	5.0
609.0	921.0	0.16324468643073983	3.0
509.0	545.0	0.16362120995060442	2.0
567.0	576.0	0.1637925878649469	2.0
729.0	935.0	0.1639668043312705	5.0
801.0	867.0	0.1641781543933318	4.0
350.0	914.0	0.16472531815490193	3.0
263.0	900.0	0.16534381788140773	3.0
199.0	834.0	0.16553858331894938	3.0
140.0	732.0	0.1655514069804026	3.0
433.0	449.0	0.16572615586063424	2.0
589.0	618.0	0.1660982241229012	2.0
321.0	325.0	0.16616626041221735	2.0
580.0	910.0	0.16619723110067397	3.0
731.0	822.0	0.166567727234517	5.0
280.0	896.0	0.1668436713556059	4.0
373.0	374.0	0.16722225645421246	2.0
409.0	916.0	0.16724450273268243	3.0
267.0	927.0	0.1673899883006744	5.0
636.0	847.0	0.1674105165640668	4.0
749.0	775.0	0.16866604305701718	4.0
427.0	447.0	0.1693996537287017	2.0
94.0	823.0	0.16943699589644634	3.0
756.0	966.0	0.16945175378193372	5.0
947.0	971.0	0.16948353218647466	4.0
510.0	578.0	0.1703102364957629	2.0
342.0	931.0	0.17049094517581725	3.0
112.0	135.0	0.1708006664153929	2.0
537.0	538.0	0.1710246738130515	2.0
642.0	719.0	0.1715402947714819	2.0
176.0	875.0	0.17171907464408076	5.0
497.0	614.0	0.1721325299009357	2.0
528.0	577.0	0.1723001937151225	2.0
873.0	877.0	0.172857685181775	4.0
230.0	926.0	0.17293411310740586	3.0
653.0	906.0	0.17300138481460897	3.0
40.0	125.0	0.1733660011528662	2.0
451.0	503.0	0.17360119600132823	2.0
391.0	928.0	0.17368724744992659	3.0
257.0	794.0	0.17420321586955323	3.0
143.0	159.0	0.17484314206214377	2.0
607.0	940.0	0.1748504525900081	3.0
444.0	530.0	0.1756484790086291	2.0
16.0	750.0	0.17570721847699633	3.0
368.0	401.0	0.1761726141161111	2.0
380.0	386.0	0.17644312495584474	2.0
356.0	364.0	0.17750300512969094	2.0
414.0	425.0	0.1775100720780039	2.0
632.0	720.0	0.17762843590854593	2.0
317.0	939.0	0.17915254394476507	3.0
426.0	429.0	0.17942880277567677	2.0
212.0	329.0	0.17968935019182666	2.0
103.0	925.0	0.17981339704907706	4.0
46.0	631.0	0.1798587777118467	2.0
515.0	912.0	0.17986364772221178	3.0
247.0	1024.0	0.17989371048959485	4.0
248.0	949.0	0.1799913539539309	3.0
347.0	746.0	0.18069064726863884	3.0
606.0	845.0	0.18131826193091413	3.0
415.0	619.0	0.18145700376033655	2.0
484.0	485.0	0.18185197419954843	2.0
441.0	996.0	0.18210459080703206	3.0
540.0	541.0	0.18230511276792188	2.0
600.0	613.0	0.18269932671850955	2.0
318.0	367.0	0.18280010423183282	2.0
788.0	859.0	0.18337880677812438	4.0
550.0	598.0	0.18355090376828564	2.0
554.0	1010.0	0.1837989386490463	5.0
254.0	275.0	0.1838134708214407	2.0
820.0	945.0	0.18436531095240302	4.0
239.0	953.0	0.18455977307640178	4.0
186.0	848.0	0.18536060834893736	3.0
418.0	430.0	0.18539034742449514	2.0
783.0	817.0	0.1854778073364497	6.0
129.0	163.0	0.18584358487319846	2.0
459.0	480.0	0.1860390828885512	2.0
549.0	1018.0	0.18641492389783235	3.0
322.0	998.0	0.18683832840182363	3.0
312.0	743.0	0.18757304721536838	3.0
889.0	899.0	0.18759617252826769	5.0
269.0	745.0	0.18784826512563993	3.0
54.0	63.0	0.18826721870456925	2.0
883.0	983.0	0.188759578963946	5.0
69.0	974.0	0.18946632013481196	5.0
797.0	874.0	0.18954226100434549	5.0
542.0	552.0	0.1904409878826764	2.0
351.0	933.0	0.19124136901774016	3.0
819.0	870.0	0.19135752226957367	5.0
824.0	973.0	0.19137542393811788	5.0
831.0	854.0	0.19225914250733628	5.0
620.0	929.0	0.19230293450542427	3.0
561.0	1040.0	0.1924604782152481	4.0
703.0	941.0	0.19275311158940056	3.0
733.0	809.0	0.19303437078704808	5.0
289.0	1042.0	0.1930487791586553	4.0
253.0	738.0	0.1930605192232802	3.0
890.0	992.0	0.19368908095641596	5.0
852.0	909.0	0.1937879089057406	5.0
570.0	956.0	0.19381441668257915	3.0
47.0	950.0	0.1940340487957144	3.0
837.0	958.0	0.1941578505050359	4.0
353.0	1012.0	0.19467904813526765	4.0
860.0	957.0	0.19469959376552812	7.0
419.0	526.0	0.19476294963932492	2.0
864.0	997.0	0.1951814243514399	5.0
434.0	435.0	0.1953558863996371	2.0
201.0	324.0	0.19565731139870485	2.0
410.0	562.0	0.1957811008021509	2.0
59.0	60.0	0.19649165074419614	2.0
225.0	316.0	0.19758176016711093	2.0
421.0	432.0	0.19795378498023428	2.0
582.0	1045.0	0.198100358566709	3.0
462.0	467.0	0.19867574964295748	2.0
355.0	905.0	0.19919873669254004	3.0
832.0	986.0	0.19938682380055434	9.0
897.0	946.0	0.19959768705598535	4.0
352.0	354.0	0.1999152433069472	2.0
210.0	1035.0	0.20016861477383863	4.0
951.0	1006.0	0.20029477253822545	6.0
326.0	892.0	0.20068390934846372	3.0
116.0	148.0	0.20082515290307584	2.0
365.0	399.0	0.201918580935916	2.0
735.0	768.0	0.20288574399227496	4.0
369.0	375.0	0.20345019279154544	2.0
154.0	911.0	0.20396590608316428	4.0
221.0	866.0	0.20470239856928713	3.0
413.0	424.0	0.20496249487641408	2.0
439.0	1033.0	0.2054260307830994	3.0
359.0	915.0	0.20595797063835244	3.0
371.0	372.0	0.20633205650517472	2.0
753.0	913.0	0.2064622857005819	5.0
758.0	828.0	0.20681418099258345	4.0
863.0	898.0	0.20689714461224598	5.0
378.0	1041.0	0.2076112221550698	5.0
610.0	1011.0	0.2076372367099167	3.0
982.0	1076.0	0.20773004816978377	5.0
70.0	894.0	0.20775250022211375	3.0
930.0	1015.0	0.20785989823883183	4.0
92.0	967.0	0.2079269137313111	3.0
908.0	919.0	0.20875805410807124	5.0
123.0	932.0	0.2088652028301834	5.0
256.0	869.0	0.20945318978147612	3.0
585.0	1044.0	0.20975609802907152	4.0
581.0	987.0	0.20978168418997445	4.0
698.0	776.0	0.20999145875441486	3.0
587.0	895.0	0.2108557179433661	3.0
495.0	522.0	0.2111101856138089	2.0
420.0	489.0	0.2112481379943478	2.0
1057.0	1094.0	0.21168533233922673	5.0
478.0	490.0	0.21190751478449382	2.0
936.0	999.0	0.21199140663563046	5.0
502.0	506.0	0.21210316237219354	2.0
518.0	608.0	0.21257205217052286	2.0
872.0	1087.0	0.212687186185035	6.0
799.0	943.0	0.21319381587778338	6.0
994.0	1075.0	0.2137328334066288	8.0
521.0	563.0	0.21450086818096842	2.0
835.0	902.0	0.2155473649531896	7.0
408.0	1047.0	0.21563472976465087	4.0
499.0	1048.0	0.215863303307075	3.0
108.0	764.0	0.21604718109973972	3.0
498.0	904.0	0.21678815678348382	3.0
407.0	458.0	0.21780500985374232	2.0
61.0	118.0	0.21833962398892967	2.0
980.0	1007.0	0.21925578531271872	5.0
81.0	887.0	0.21953646868491716	3.0
379.0	390.0	0.2198732920029794	2.0
871.0	1029.0	0.21988998229519988	6.0
479.0	519.0	0.2200263560978549	2.0
276.0	402.0	0.22023848378176755	2.0
93.0	969.0	0.22147191145905015	4.0
388.0	1080.0	0.22173691652982835	5.0
879.0	959.0	0.2225137969992684	6.0
599.0	612.0	0.22376475065649526	2.0
496.0	601.0	0.2237824611945652	2.0
923.0	1070.0	0.22401606391535542	8.0
573.0	938.0	0.22456237759959724	3.0
857.0	965.0	0.22486336292022951	6.0
868.0	1019.0	0.2254214715915086	6.0
222.0	285.0	0.22688854887206147	2.0
35.0	37.0	0.2271689696876507	2.0
520.0	559.0	0.22733863758118608	2.0
218.0	1114.0	0.22749514042238134	4.0
991.0	1072.0	0.22864929946376533	7.0
878.0	1074.0	0.22875231714822133	7.0
301.0	1037.0	0.22887816499530642	3.0
597.0	1017.0	0.23023836050024696	3.0
770.0	1088.0	0.23151242082310353	9.0
1008.0	1124.0	0.2316071609739695	6.0
785.0	842.0	0.23246444462816138	5.0
1009.0	1106.0	0.23328136232963623	7.0
465.0	539.0	0.2334210178365511	2.0
366.0	405.0	0.2340902855358097	2.0
124.0	1067.0	0.234497525230603	3.0
