eje_x,aspirin_ftir,aspirin_raman
502,1.4291682664804784e-05,
503,1.345068325905284e-05,
504,1.2654397971170812e-05,
505,1.1900817755950344e-05,
506,1.1188006324448811e-05,
507,1.0514099132307868e-05,
508,9.877302322427455e-06,
509,9.275891630248702e-06,
510,8.70821125975491e-06,
511,8.172672738144696e-06,
512,7.667753756985374e-06,
513,7.191997007513035e-06,
514,6.744009017590779e-06,
515,6.3224589977131995e-06,
516,5.926077703296057e-06,
517,5.55365632037367e-06,
518,5.204045381693842e-06,
519,4.876153720093253e-06,
520,4.568947465918631e-06,
521,4.281449095162532e-06,
522,4.0127365348823545e-06,
523,3.761942332384728e-06,
524,3.528252894577101e-06,
525,3.3109078038035378e-06,
526,3.109199216423225e-06,
527,2.9224713503127513e-06,
528,2.7501200674166138e-06,
529,2.591592557412898e-06,
530,2.4463871284958835e-06,
531,2.314053111228865e-06,
532,2.194190881354842e-06,
533,2.086452007394718e-06,
534,1.9905395287956643e-06,
535,1.906208370317796e-06,
536,1.8332658982687272e-06,
537,1.771572624096732e-06,
538,1.7210430607504998e-06,
539,1.6816467370910145e-06,
540,1.6534093754914622e-06,
541,1.6364142376068557e-06,
542,1.6308036430960354e-06,
543,1.6367806658669577e-06,
544,1.654611012166133e-06,
545,1.684625084548962e-06,
546,1.7272202354452994e-06,
547,1.7828632136773955e-06,
548,1.852092806872184e-06,
549,1.9355226822647794e-06,
550,2.033844427871897e-06,
551,2.1478307954651215e-06,
552,2.2783391461456234e-06,
553,2.4263150986455665e-06,
554,2.592796379738545e-06,
555,2.7789168753284346e-06,
556,2.9859108799062463e-06,
557,3.215117541114356e-06,
558,3.467985495132009e-06,
559,3.746077687490357e-06,
560,4.051076372758838e-06,
561,4.3847882852768905e-06,
562,4.749149971782948e-06,
563,5.146233275376619e-06,
564,5.578250958765761e-06,
565,6.047562453184319e-06,
566,6.5566797177329845e-06,
567,7.108273192184831e-06,
568,7.705177824525609e-06,
569,8.350399152652987e-06,
570,9.047119417770857e-06,
571,9.79870368505502e-06,
