Wavenumber,FTIR__aspirin_ftir,RAMAN__aspirin_raman
462.9753168779186,3.433547900375373e-08,0.0005494785794541951
464.0426951300867,4.0339810499505204e-08,0.0005847787711967993
465.1100733822548,4.739566453177744e-08,0.0006212764266416797
466.17745163442294,5.560842288120591e-08,0.0006588385244744715
467.24482988659105,6.515428142702444e-08,0.000697389227380746
468.31220813875916,7.623402188176665e-08,0.0007368427978169962
469.3795863909273,8.907608642246911e-08,0.0007771036574699289
470.4469646430954,1.0393998342115477e-07,0.0008180665394986865
471.5143428952635,1.2112005232111553e-07,0.0008596167370255506
472.5817211474316,1.4094961703152714e-07,0.0009016304503186659
473.6490993995997,1.6380555844890617e-07,0.0009439752339959151
474.71647765176783,1.9011333783083477e-07,0.0009865105443904285
475.78385590393594,2.2035250371280958e-07,0.0010290883859678007
476.85123415610406,2.5506271583739023e-07,0.0010715540543912109
477.91861240827217,2.9485032011804894e-07,0.001113746972510849
478.9859906604403,3.403955089431083e-07,0.0011555016142314875
480.0533689126084,3.9248192794596685e-07,0.0011966461873711958
481.1207471647765,4.5241014044318965e-07,0.0012369563890103894
482.1881254169446,5.207788013844329e-07,0.0012762930477660914
483.2555036691127,5.98666904907021e-07,0.001314481706059971
484.32288192128084,6.872753255878019e-07,0.001351348884581231
485.39026017344895,7.879383722799469e-07,0.0013867233625489445
486.45763842561706,9.021361484726386e-07,0.0014204374738218041
487.5250166777852,1.0315077388068007e-06,0.0014523284054217007
488.5923949299533,1.1778652366664617e-06,0.0014822394846562947
489.6597731821214,1.343208622230226e-06,0.0015100214408276186
490.7271514342895,1.5297414939498081e-06,0.0015355336275101213
491.7945296864576,1.7398876490785482e-06,0.0015586451915751568
492.86190793862573,1.9763085005612855e-06,0.0015792361755300726
493.92928619079385,2.2419213082658035e-06,0.0015971985403290326
494.99666444296196,2.5399181921815627e-06,0.001612437096590806
496.06404269513007,2.8739266945996224e-06,0.0016248601770271964
497.1314209472982,3.2500586130382767e-06,0.0016342486808411036
498.1987991994663,3.670501769765239e-06,0.001640708585360176
499.2661774516344,4.1398117279708205e-06,0.0016442057108740917
500.3335557038025,4.662928179395415e-06,0.0016447217017074214
501.40093395597063,5.245197297535649e-06,0.0016422541855256984
502.46831220813874,5.892394226060007e-06,0.0016368167914685196
503.5356904603069,6.6107455442821875e-06,0.00162843902691784
504.60306871247496,7.406951532368764e-06,0.0016171660144382025
505.67044696464313,8.28820803929787e-06,0.0016030580921349957
506.7378252168112,9.262227736565827e-06,0.0015861902823316632
507.80520346897936,1.0337260520485386e-05,0.001566651635047448
508.8725817211474,1.1522112805808408e-05,0.001544544454235153
509.9399599733156,1.2826165433610111e-05,0.0015199834160948833
511.00733822548364,1.4259389897128186e-05,0.0014930945899932764
512.0747164776518,1.5832986857351358e-05,0.0014640059759203346
513.1420947298199,1.7566524075894238e-05,0.0014327691478812617
514.209472981988,1.9464208147590545e-05,0.0013996579422018355
515.2768512341561,2.153859074429527e-05,0.0013648335448834064
516.3442294863243,2.380285828988854e-05,0.0013284623514836019
517.4116077384923,2.6270829943373013e-05,0.0012907146699082702
518.4789859906605,2.8956951292060555e-05,0.0012517634223494754
519.5463642428285,3.1876283363159805e-05,0.0012117828599017492
520.6137424949967,3.504448656413759e-05,0.0011709473028704452
521.6811207471648,3.8477799168429334e-05,0.0011294299190975016
522.7484989993329,4.219300997383541e-05,0.0010874015517953685
523.815877251501,4.6207424776508645e-05,0.001045029607414082
